incident_id,atm_id,failure_type,failure_subtype,start_time,end_time,severity,maintenance_level,repair_duration_hours,root_cause,was_sudden
INC_ATM_0128_20260101031000,ATM_0128,printer,cutter_failure,2026-01-01 03:10:00,2026-01-01 06:10:00,low,FLM,2.6609569479586552,Printer mechanism failure,False
INC_ATM_0069_20260101040500,ATM_0069,card_reader,reader_malfunction,2026-01-01 04:05:00,2026-01-01 06:10:00,medium,FLM,1.871600318102357,Card reader sensor malfunction,False
INC_ATM_0092_20260101041000,ATM_0092,printer,cutter_failure,2026-01-01 04:10:00,2026-01-01 07:10:00,low,FLM,2.5924034822579363,Printer mechanism failure,False
INC_ATM_0025_20260101043000,ATM_0025,dispenser,motor_failure,2026-01-01 04:30:00,2026-01-01 06:55:00,medium,FLM,2.1572383822156165,Mechanical wear in dispenser,False
INC_ATM_0170_20260101045500,ATM_0170,dispenser,pick_failure,2026-01-01 04:55:00,2026-01-01 07:55:00,high,FLM,2.7374533070880056,Mechanical wear in dispenser,False
INC_ATM_0156_20260101052500,ATM_0156,thermal,cooling_system_failure,2026-01-01 05:25:00,2026-01-01 06:55:00,low,FLM,1.1202688880257687,Thermal management failure,False
INC_ATM_0003_20260101054500,ATM_0003,dispenser,pick_failure,2026-01-01 05:45:00,2026-01-01 07:55:00,critical,FLM,1.989462508048864,Mechanical wear in dispenser,False
INC_ATM_0148_20260101054500,ATM_0148,software,os_error,2026-01-01 05:45:00,2026-01-01 12:50:00,medium,SLM,6.754281984057665,Software exception,False
INC_ATM_0159_20260101060500,ATM_0159,card_reader,reader_malfunction,2026-01-01 06:05:00,2026-01-01 13:05:00,low,SLM,6.7456141310348645,Card reader sensor malfunction,False
INC_ATM_0101_20260101062000,ATM_0101,printer,print_head_failure,2026-01-01 06:20:00,2026-01-01 14:30:00,medium,SLM,7.974468367438838,Printer mechanism failure,False
INC_ATM_0045_20260101063000,ATM_0045,card_reader,reader_malfunction,2026-01-01 06:30:00,2026-01-01 08:10:00,low,FLM,1.3955128667725365,Card reader sensor malfunction,False
INC_ATM_0016_20260101072500,ATM_0016,network,timeout,2026-01-01 07:25:00,2026-01-01 09:35:00,medium,FLM,1.8206374607828752,Network connectivity issue,False
INC_ATM_0008_20260101075000,ATM_0008,card_reader,card_jam,2026-01-01 07:50:00,2026-01-01 15:05:00,high,SLM,6.750817817589722,Card reader sensor malfunction,False
INC_ATM_0039_20260101081000,ATM_0039,card_reader,read_error,2026-01-01 08:10:00,2026-01-01 10:50:00,high,FLM,2.2512026094326827,Card reader sensor malfunction,False
INC_ATM_0127_20260101085000,ATM_0127,printer,cutter_failure,2026-01-01 08:50:00,2026-01-01 11:35:00,low,FLM,2.407949905389452,Printer mechanism failure,False
INC_ATM_0072_20260101091500,ATM_0072,thermal,overheating,2026-01-01 09:15:00,2026-01-01 12:00:00,low,FLM,2.3716348406332646,Thermal management failure,False
INC_ATM_0061_20260101092000,ATM_0061,dispenser,transport_error,2026-01-01 09:20:00,2026-01-01 12:05:00,high,FLM,2.4533783601346957,Mechanical wear in dispenser,False
INC_ATM_0083_20260101114500,ATM_0083,printer,cutter_failure,2026-01-01 11:45:00,2026-01-01 13:40:00,medium,FLM,1.5651661178811678,Printer mechanism failure,True
INC_ATM_0074_20260101121500,ATM_0074,card_reader,card_jam,2026-01-01 12:15:00,2026-01-01 21:55:00,medium,SLM,9.498259611539929,Card reader sensor malfunction,False
INC_ATM_0018_20260101123500,ATM_0018,printer,cutter_failure,2026-01-01 12:35:00,2026-01-01 16:55:00,medium,SLM,4.10578227185388,Printer mechanism failure,False
INC_ATM_0058_20260101131000,ATM_0058,printer,paper_jam,2026-01-01 13:10:00,2026-01-01 20:20:00,low,SLM,6.820565826710539,Printer mechanism failure,True
INC_ATM_0046_20260101134000,ATM_0046,network,switch_failure,2026-01-01 13:40:00,2026-01-01 16:15:00,high,FLM,2.29719411195235,Network connectivity issue,False
INC_ATM_0142_20260101134500,ATM_0142,dispenser,transport_error,2026-01-01 13:45:00,2026-01-01 16:20:00,medium,FLM,2.095193871935094,Mechanical wear in dispenser,False
INC_ATM_0130_20260101140000,ATM_0130,printer,cutter_failure,2026-01-01 14:00:00,2026-01-01 16:15:00,medium,FLM,2.050611564282231,Printer mechanism failure,False
INC_ATM_0006_20260101144000,ATM_0006,software,application_crash,2026-01-01 14:40:00,2026-01-01 18:00:00,critical,SLM,3.142487012471891,Software exception,False
INC_ATM_0166_20260101145000,ATM_0166,software,os_error,2026-01-01 14:50:00,2026-01-01 18:20:00,high,FLM,3.0078806696783094,Software exception,False
INC_ATM_0089_20260101155500,ATM_0089,dispenser,jam,2026-01-01 15:55:00,2026-01-01 18:15:00,low,FLM,1.9825934597622485,Mechanical wear in dispenser,False
INC_ATM_0095_20260101162500,ATM_0095,printer,paper_jam,2026-01-01 16:25:00,2026-01-01 18:10:00,low,FLM,1.4879862022989667,Printer mechanism failure,False
INC_ATM_0064_20260101164000,ATM_0064,thermal,fan_failure,2026-01-01 16:40:00,2026-01-01 19:05:00,critical,FLM,2.141854122295767,Thermal management failure,False
INC_ATM_0051_20260101165500,ATM_0051,printer,paper_jam,2026-01-01 16:55:00,2026-01-01 22:50:00,high,SLM,5.500480823432553,Printer mechanism failure,False
INC_ATM_0033_20260101184000,ATM_0033,card_reader,card_jam,2026-01-01 18:40:00,2026-01-01 21:25:00,low,FLM,2.446781443199628,Card reader sensor malfunction,False
INC_ATM_0082_20260101212500,ATM_0082,card_reader,read_error,2026-01-01 21:25:00,2026-01-01 23:20:00,medium,FLM,1.6557257337682227,Card reader sensor malfunction,False
INC_ATM_0028_20260101221000,ATM_0028,dispenser,motor_failure,2026-01-01 22:10:00,2026-01-02 00:40:00,low,FLM,2.0098672446202874,Mechanical wear in dispenser,False
INC_ATM_0129_20260101222000,ATM_0129,card_reader,read_error,2026-01-01 22:20:00,2026-01-02 00:25:00,medium,FLM,1.8380767924171035,Card reader sensor malfunction,False
INC_ATM_0147_20260101225000,ATM_0147,printer,print_head_failure,2026-01-01 22:50:00,2026-01-02 11:25:00,critical,SLM,12.21296995214211,Printer mechanism failure,False
INC_ATM_0160_20260101225000,ATM_0160,printer,print_head_failure,2026-01-01 22:50:00,2026-01-02 00:35:00,medium,FLM,1.430731405105006,Printer mechanism failure,False
INC_ATM_0022_20260101231500,ATM_0022,network,dns_failure,2026-01-01 23:15:00,2026-01-02 05:40:00,critical,SLM,6.125546718998509,Network connectivity issue,False
INC_ATM_0116_20260101231500,ATM_0116,dispenser,motor_failure,2026-01-01 23:15:00,2026-01-02 11:25:00,high,SLM,11.99502661303719,Mechanical wear in dispenser,False
INC_ATM_0073_20260101234500,ATM_0073,card_reader,card_jam,2026-01-01 23:45:00,2026-01-02 01:05:00,medium,FLM,0.982373203278889,Card reader sensor malfunction,False
INC_ATM_0092_20260102002500,ATM_0092,dispenser,pick_failure,2026-01-02 00:25:00,2026-01-02 08:35:00,critical,SLM,7.929392782587785,Mechanical wear in dispenser,False
INC_ATM_0047_20260102004000,ATM_0047,thermal,fan_failure,2026-01-02 00:40:00,2026-01-02 02:50:00,high,FLM,1.8585859115420107,Thermal management failure,False
INC_ATM_0004_20260102014000,ATM_0004,dispenser,jam,2026-01-02 01:40:00,2026-01-02 11:15:00,medium,SLM,9.143538875867087,Mechanical wear in dispenser,False
INC_ATM_0112_20260102024000,ATM_0112,software,application_crash,2026-01-02 02:40:00,2026-01-02 11:20:00,medium,SLM,8.183743986077229,Software exception,False
INC_ATM_0029_20260102030500,ATM_0029,dispenser,pick_failure,2026-01-02 03:05:00,2026-01-02 05:50:00,low,FLM,2.4563812729897196,Mechanical wear in dispenser,False
INC_ATM_0155_20260102031500,ATM_0155,card_reader,reader_malfunction,2026-01-02 03:15:00,2026-01-02 09:40:00,critical,SLM,6.061189863484715,Card reader sensor malfunction,False
INC_ATM_0030_20260102032000,ATM_0030,printer,cutter_failure,2026-01-02 03:20:00,2026-01-02 09:55:00,medium,SLM,6.189113784076741,Printer mechanism failure,False
INC_ATM_0128_20260102032500,ATM_0128,network,dns_failure,2026-01-02 03:25:00,2026-01-02 11:25:00,high,SLM,7.606633408151452,Network connectivity issue,False
