maintenance_id,atm_id,maintenance_type,start_time,completion_time,component_replaced,outcome,related_incident_id
MAINT_INC_ATM_0128_20260101031000,ATM_0128,corrective,2026-01-01 03:10:00,2026-01-01 06:10:00,printer_mechanism,successful,INC_ATM_0128_20260101031000
MAINT_INC_ATM_0069_20260101040500,ATM_0069,corrective,2026-01-01 04:05:00,2026-01-01 06:10:00,card_reader,successful,INC_ATM_0069_20260101040500
MAINT_INC_ATM_0092_20260101041000,ATM_0092,corrective,2026-01-01 04:10:00,2026-01-01 07:10:00,printer_mechanism,successful,INC_ATM_0092_20260101041000
MAINT_INC_ATM_0025_20260101043000,ATM_0025,corrective,2026-01-01 04:30:00,2026-01-01 06:55:00,dispenser_mechanism,successful,INC_ATM_0025_20260101043000
MAINT_INC_ATM_0170_20260101045500,ATM_0170,corrective,2026-01-01 04:55:00,2026-01-01 07:55:00,dispenser_mechanism,successful,INC_ATM_0170_20260101045500
MAINT_INC_ATM_0156_20260101052500,ATM_0156,corrective,2026-01-01 05:25:00,2026-01-01 06:55:00,cooling_fan,successful,INC_ATM_0156_20260101052500
MAINT_INC_ATM_0003_20260101054500,ATM_0003,corrective,2026-01-01 05:45:00,2026-01-01 07:55:00,dispenser_mechanism,successful,INC_ATM_0003_20260101054500
MAINT_INC_ATM_0148_20260101054500,ATM_0148,corrective,2026-01-01 05:45:00,2026-01-01 12:50:00,software_update,successful,INC_ATM_0148_20260101054500
MAINT_INC_ATM_0159_20260101060500,ATM_0159,corrective,2026-01-01 06:05:00,2026-01-01 13:05:00,card_reader,successful,INC_ATM_0159_20260101060500
MAINT_INC_ATM_0101_20260101062000,ATM_0101,corrective,2026-01-01 06:20:00,2026-01-01 14:30:00,printer_mechanism,successful,INC_ATM_0101_20260101062000
MAINT_INC_ATM_0045_20260101063000,ATM_0045,corrective,2026-01-01 06:30:00,2026-01-01 08:10:00,card_reader,successful,INC_ATM_0045_20260101063000
MAINT_INC_ATM_0016_20260101072500,ATM_0016,corrective,2026-01-01 07:25:00,2026-01-01 09:35:00,network_module,successful,INC_ATM_0016_20260101072500
MAINT_INC_ATM_0008_20260101075000,ATM_0008,corrective,2026-01-01 07:50:00,2026-01-01 15:05:00,card_reader,successful,INC_ATM_0008_20260101075000
MAINT_INC_ATM_0039_20260101081000,ATM_0039,corrective,2026-01-01 08:10:00,2026-01-01 10:50:00,card_reader,successful,INC_ATM_0039_20260101081000
MAINT_INC_ATM_0127_20260101085000,ATM_0127,corrective,2026-01-01 08:50:00,2026-01-01 11:35:00,printer_mechanism,successful,INC_ATM_0127_20260101085000
MAINT_INC_ATM_0072_20260101091500,ATM_0072,corrective,2026-01-01 09:15:00,2026-01-01 12:00:00,cooling_fan,successful,INC_ATM_0072_20260101091500
