iter	Passed	Remaining
0	361	180494
1	672	167349
2	948	157150
3	1201	148954
4	1467	145321
5	1714	141144
6	1930	135940
7	2185	134420
8	2432	132690
9	2694	132030
10	2929	130245
11	3181	129382
12	3419	128081
13	3641	126417
14	3909	126412
15	4175	126310
16	4412	125357
17	4668	125022
18	4919	124543
19	5165	123974
20	5431	123900
21	5659	122956
22	5918	122742
23	6157	122121
24	6398	121564
25	6686	121898
26	7017	122939
27	7337	123693
28	7660	124422
29	7990	125185
30	8363	126538
31	8680	126955
32	8996	127310
33	9309	127595
34	9613	127724
35	9947	128214
36	10286	128717
37	10674	129774
38	11133	131598
39	11641	133872
40	12051	134915
41	12455	135821
42	12835	136415
43	13172	136518
44	13519	136696
45	13880	136991
46	14225	137112
47	14541	136934
48	14839	136579
49	15175	136575
50	15487	136352
51	15785	135998
52	16105	135834
53	16418	135605
54	16750	135523
55	17055	135221
56	17374	135036
57	17694	134845
58	18016	134662
59	18338	134482
60	18635	134111
61	18952	133889
62	19278	133727
63	19607	133578
64	19927	133364
65	20227	133009
66	20527	132661
67	20831	132339
68	21150	132116
69	21462	131840
70	21833	131922
71	22180	131850
72	22512	131683
73	22836	131463
74	23150	131187
75	23454	130848
76	23770	130585
77	24134	130574
78	24476	130436
79	24790	130150
80	25118	129933
81	25462	129799
82	25792	129583
83	26099	129256
84	26453	129153
85	26794	128985
86	27120	128744
87	27441	128477
88	27779	128285
89	28092	127977
90	28422	127747
91	28753	127517
92	29079	127261
93	29406	127009
94	29776	126943
95	30157	126911
96	30485	126654
97	30799	126340
98	31140	126132
99	31473	125892
100	31831	125750
101	32136	125395
102	32467	125140
103	32807	124919
104	33171	124786
105	33507	124547
106	33814	124195
107	34178	124056
108	34530	123866
109	34830	123490
110	35141	123152
111	35492	122956
112	35838	122740
113	36148	122396
114	36457	122054
115	36806	121842
116	37115	121497
117	37435	121187
118	37771	120931
119	38089	120615
120	38420	120341
121	38741	120036
122	39074	119763
123	39412	119507
124	39713	119141
125	40019	118786
126	40331	118454
127	40667	118188
128	41024	117984
129	41366	117734
130	41673	117385
