feature,importance
power_battery_health_percent,75805.375
dispenser_failed_pick_count_rolling_mean_30m,71966.171875
dispenser_failed_pick_count_rolling_max_30m,48504.06640625
software_cpu_usage_percent_rolling_max_30m,4564.07568359375
temperature_time_above_warning_temp_min,3420.78857421875
software_cpu_usage_percent_rolling_max_15m,3294.07666015625
monitoring_timeout_count,2139.42724609375
monitoring_failed_transaction_count_rolling_mean_15m,2124.953857421875
dispenser_failed_pick_count_rolling_mean_15m,2028.0384521484375
dispenser_jam_warning_count,1573.193359375
network_latency_ms_rolling_max_180m,1554.02783203125
network_latency_ms_rolling_mean_180m,1517.775390625
power_input_voltage_v_rolling_std_120m,1466.771240234375
temperature_cabinet_temp_c_rolling_max_120m,1413.48046875
software_cpu_usage_percent_rolling_std_180m,1352.97265625
power_input_voltage_v_rolling_std_60m,1350.899658203125
temperature_cabinet_temp_c_rolling_mean_120m,1330.7841796875
temperature_cabinet_temp_c_rolling_max_180m,1313.9569091796875
dispenser_failed_pick_count_rolling_max_15m,1305.409912109375
temperature_cabinet_temp_c_rolling_max_30m,1303.65185546875
temperature_cabinet_temp_c_rolling_mean_60m,1273.2513427734375
software_cpu_usage_percent_rolling_std_60m,1245.258544921875
temperature_cabinet_temp_c_rolling_max_60m,1234.0213623046875
temperature_cabinet_temp_c_rolling_mean_30m,1218.330810546875
power_input_voltage_v_rolling_max_30m,1210.930908203125
power_input_voltage_v_rolling_std_180m,1210.1346435546875
power_input_voltage_v_rolling_max_60m,1199.5523681640625
monitoring_failed_transaction_count_rolling_std_15m,1146.935546875
power_ups_transfers,1115.0174560546875
monitoring_failed_transaction_count_rolling_mean_30m,1104.5277099609375
software_uptime_hours,1087.6002197265625
power_input_voltage_v_rolling_mean_60m,1079.9405517578125
software_cpu_usage_percent_rolling_max_120m,1049.0518798828125
network_latency_ms_rolling_max_120m,1032.4716796875
monitoring_failed_transaction_count,1021.88671875
power_input_voltage_v_rolling_max_180m,1012.5472412109375
network_latency_ms_rolling_std_60m,1004.0823974609375
temperature_cabinet_temp_c_rolling_max_15m,996.0729370117188
temperature_cabinet_temp_c_rolling_mean_180m,972.15087890625
network_latency_ms_rolling_std_180m,964.4912719726562
temperature_cabinet_temp_c_rolling_std_120m,959.747802734375
printer_cutter_error_count,949.114501953125
software_cpu_usage_percent_rolling_std_30m,937.718994140625
software_cpu_usage_percent_rolling_std_120m,937.1008911132812
monitoring_failed_transaction_count_rolling_max_30m,923.171875
power_input_voltage_v_rolling_std_15m,912.986083984375
temperature_cabinet_temp_c_rolling_std_60m,908.2630004882812
power_input_voltage_v_rolling_mean_180m,897.5558471679688
network_latency_ms_rolling_max_60m,895.4271850585938
power_input_voltage_v_rolling_max_120m,893.7431030273438
network_latency_ms_rolling_mean_120m,889.0097045898438
power_input_voltage_v_rolling_mean_30m,862.0264892578125
power_input_voltage_v_rolling_mean_120m,857.7015991210938
software_cpu_usage_percent_rolling_std_15m,844.4168090820312
software_cpu_usage_percent_rolling_mean_30m,828.43701171875
power_input_voltage_v_rolling_mean_15m,802.4896850585938
printer_printer_temp_c,771.193603515625
monitoring_successful_transaction_count,765.0147094726562
network_latency_ms_rolling_std_120m,762.0479736328125
software_cpu_usage_percent_rolling_max_60m,757.9812622070312
power_input_voltage_v,755.517822265625
network_latency_ms,717.6717529296875
software_cpu_usage_percent_rolling_mean_120m,688.1610107421875
power_input_voltage_v_rolling_std_30m,682.1038208007812
temperature_cabinet_temp_c_rolling_std_180m,680.7538452148438
temperature_fan_speed_rpm,673.6618041992188
software_cpu_usage_percent_rolling_mean_180m,671.54931640625
software_cpu_usage_percent_rolling_mean_15m,647.1333618164062
network_latency_ms_rolling_max_15m,612.1373291015625
software_cpu_usage_percent_rolling_max_180m,606.1005249023438
temperature_cabinet_temp_c_rolling_std_30m,597.3353881835938
power_voltage_variation_v,587.453857421875
network_signal_strength_dbm,566.6016235351562
network_latency_ms_rolling_mean_60m,557.107666015625
monitoring_decline_count,556.040283203125
monitoring_failed_transaction_count_rolling_mean_120m,539.6687622070312
atm_age_years,534.22314453125
temperature_cabinet_temp_c,528.9508056640625
temperature_cpu_temp_c,507.8686828613281
temperature_cabinet_temp_c_rolling_mean_15m,497.39886474609375
printer_paper_level_percent,478.3800964355469
software_cpu_usage_percent_rolling_mean_60m,470.4151306152344
network_latency_ms_rolling_std_30m,461.14453125
temperature_power_module_temp_c,454.6020812988281
software_cpu_usage_percent,449.94439697265625
network_latency_ms_rolling_max_30m,441.1053771972656
power_input_voltage_v_rolling_max_15m,431.7522888183594
network_latency_ms_rolling_mean_15m,355.6084899902344
monitoring_unresolved_warning_count,355.2306213378906
software_disk_usage_percent,341.7362365722656
dispenser_failed_pick_count_rolling_mean_180m,336.7164001464844
power_power_supply_temp_c,336.1690673828125
software_memory_usage_percent,336.0505065917969
temperature_cabinet_temp_c_rolling_std_15m,268.87762451171875
power_battery_charge_percent,261.2706604003906
dispenser_note_reject_rate_percent,251.11997985839844
monitoring_failed_transaction_count_rolling_std_180m,218.73919677734375
monitoring_time_since_last_transaction_min,204.2187957763672
printer_failed_print_count,174.646484375
dispenser_failed_pick_count,171.66278076171875
card_reader_reader_reset_count,170.911376953125
monitoring_failed_transaction_count_rolling_std_30m,167.53515625
software_os_error_count,159.1600799560547
card_reader_retained_card_count,157.8012237548828
network_latency_ms_rolling_mean_30m,156.1165313720703
card_reader_read_retry_rate_percent,148.358642578125
dispenser_failed_pick_count_rolling_mean_120m,146.35169982910156
monitoring_failed_transaction_count_rolling_std_120m,128.55886840820312
network_packet_loss_percent,128.08460998535156
software_app_restart_count,116.76290130615234
dispenser_motor_current_ma,94.98516845703125
dispenser_failed_pick_count_rolling_mean_60m,83.03582763671875
network_latency_ms_rolling_std_15m,82.53985595703125
monitoring_failed_transaction_count_rolling_mean_180m,82.31851959228516
network_reconnect_count,79.04183959960938
monitoring_failed_transaction_count_rolling_mean_60m,71.5101089477539
dispenser_failed_pick_count_rolling_std_120m,66.23054504394531
printer_paper_low_warning,61.487762451171875
monitoring_failed_transaction_count_rolling_std_60m,56.635589599609375
dispenser_failed_pick_count_rolling_std_180m,42.87872314453125
dispenser_failed_pick_count_rolling_std_30m,37.776702880859375
dispenser_failed_pick_count_rolling_std_60m,25.006790161132812
dispenser_failed_pick_count_rolling_std_15m,0.8092727661132812
card_reader_reader_unavailable_warning,0.501953125
